Year,Value,UNIT_MEASURE,SERIES
2000,85,Procenat,SH_ACS_DTP3
2001,91,Procenat,SH_ACS_DTP3
2002,80,Procenat,SH_ACS_DTP3
2003,87,Procenat,SH_ACS_DTP3
2004,84,Procenat,SH_ACS_DTP3
2005,93,Procenat,SH_ACS_DTP3
2006,87,Procenat,SH_ACS_DTP3
2007,95,Procenat,SH_ACS_DTP3
2008,91,Procenat,SH_ACS_DTP3
2009,90,Procenat,SH_ACS_DTP3
2010,89,Procenat,SH_ACS_DTP3
2011,88,Procenat,SH_ACS_DTP3
2012,92,Procenat,SH_ACS_DTP3
2013,89,Procenat,SH_ACS_DTP3
2014,86,Procenat,SH_ACS_DTP3
2015,82,Procenat,SH_ACS_DTP3
2016,78,Procenat,SH_ACS_DTP3
2017,75,Procenat,SH_ACS_DTP3
2018,73,Procenat,SH_ACS_DTP3
2019,73,Procenat,SH_ACS_DTP3
2000,74,Procenat,SH_ACS_MCV2
2001,86,Procenat,SH_ACS_MCV2
2002,90,Procenat,SH_ACS_MCV2
2003,85,Procenat,SH_ACS_MCV2
2004,88,Procenat,SH_ACS_MCV2
2005,90,Procenat,SH_ACS_MCV2
2006,93,Procenat,SH_ACS_MCV2
2007,95,Procenat,SH_ACS_MCV2
2008,92,Procenat,SH_ACS_MCV2
2009,88,Procenat,SH_ACS_MCV2
2010,91,Procenat,SH_ACS_MCV2
2011,88,Procenat,SH_ACS_MCV2
2012,94,Procenat,SH_ACS_MCV2
2013,93,Procenat,SH_ACS_MCV2
2014,92,Procenat,SH_ACS_MCV2
2015,88,Procenat,SH_ACS_MCV2
2016,78,Procenat,SH_ACS_MCV2
2017,80,Procenat,SH_ACS_MCV2
2018,76,Procenat,SH_ACS_MCV2
2019,76,Procenat,SH_ACS_MCV2
2008,0,Procenat,SH_ACS_PCV3
2009,0,Procenat,SH_ACS_PCV3
2010,0,Procenat,SH_ACS_PCV3
2011,0,Procenat,SH_ACS_PCV3
2012,0,Procenat,SH_ACS_PCV3
2013,0,Procenat,SH_ACS_PCV3
2014,0,Procenat,SH_ACS_PCV3
2015,0,Procenat,SH_ACS_PCV3
2016,0,Procenat,SH_ACS_PCV3
2017,0,Procenat,SH_ACS_PCV3
2018,0,Procenat,SH_ACS_PCV3
2019,0,Procenat,SH_ACS_PCV3
