Year,Value,UNIT_MEASURE,SERIES
2009,99.5,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2010,99.4,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2011,99.8,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2012,99.8,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2013,99.5,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2014,99.8,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2015,99.8,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2016,99.9,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2017,99.9,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2018,99.9,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2019,99.9,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2020,100.0,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
2021,100.0,Procenat,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika
