Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2011,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,1636954
2012,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,1664593
2013,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,1819199
2014,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,1888795
2015,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,1863124
2016,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,2074672
2017,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,2478433
2018,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,2685522
2019,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,2606564
2020,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,2461069
2021,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,3214308
2011,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,117116
2012,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,31565
2013,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,73508
2014,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,79861
2015,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,65314
2016,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,76543
2017,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,92738
2018,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,103757
2019,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,136086
2020,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,148086
2021,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,201565
2011,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,66795
2012,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,60703
2013,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,55930
2014,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,61892
2015,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,87257
2016,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,107500
2017,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,142480
2018,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,110107
2019,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,99956
2020,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,113803
2021,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,102462
2011,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,698367
2012,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,559897
2013,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,599931
2014,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,570437
2015,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,509689
2016,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,521492
2017,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,645335
2018,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,729090
2019,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,678774
2020,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,594310
2021,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,811312
2011,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,21886
2012,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,36248
2013,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,35876
2014,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,66207
2015,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,69271
2016,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,74924
2017,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,102156
2018,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,96959
2019,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,79858
2020,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,65827
2021,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,88079
2011,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Нераспоређено,19691
2012,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Нераспоређено,21732
2013,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Нераспоређено,19647
2014,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Нераспоређено,24822
2015,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Нераспоређено,19268
2016,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Нераспоређено,13970
2017,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Нераспоређено,14951
2018,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Нераспоређено,16388
