Year,SERIES,UNIT_MEASURE,Value
2009,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,462.7
2010,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,403.2
2011,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,350.8
2012,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,336.6
2013,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,394.8
2014,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,382.6
2015,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,332.8
2016,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,241.1
2017,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,305.1
2018,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,293.7
2019,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,488.1
2020,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,369.4
2021,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,481.7
