Year,SERIES,UNIT_MEASURE,Value
2009,"Стопа смртности због повреда у друмском саобраћају, према полу (на 100.000 становника)",На 100 000 умрлих,754.9
2010,"Стопа смртности због повреда у друмском саобраћају, према полу (на 100.000 становника)",На 100 000 умрлих,680.6
2011,"Стопа смртности због повреда у друмском саобраћају, према полу (на 100.000 становника)",На 100 000 умрлих,871.3
2012,"Стопа смртности због повреда у друмском саобраћају, према полу (на 100.000 становника)",На 100 000 умрлих,688.6
2013,"Стопа смртности због повреда у друмском саобраћају, према полу (на 100.000 становника)",На 100 000 умрлих,837.0
2014,"Стопа смртности због повреда у друмском саобраћају, према полу (на 100.000 становника)",На 100 000 умрлих,714.8
2015,"Стопа смртности због повреда у друмском саобраћају, према полу (на 100.000 становника)",На 100 000 умрлих,703.9
2016,"Стопа смртности због повреда у друмском саобраћају, према полу (на 100.000 становника)",На 100 000 умрлих,901.9
2017,"Стопа смртности због повреда у друмском саобраћају, према полу (на 100.000 становника)",На 100 000 умрлих,566.1
2018,"Стопа смртности због повреда у друмском саобраћају, према полу (на 100.000 становника)",На 100 000 умрлих,704.5
2019,"Стопа смртности због повреда у друмском саобраћају, према полу (на 100.000 становника)",На 100 000 умрлих,702.9
2020,"Стопа смртности због повреда у друмском саобраћају, према полу (на 100.000 становника)",На 100 000 умрлих,464.4
2021,"Стопа смртности због повреда у друмском саобраћају, према полу (на 100.000 становника)",На 100 000 умрлих,421.0
