Year,SERIES,UNIT_MEASURE,Пол,Value
2018,Самостални власници/це непокретности – земљишта и објеката,Број,Оба пола или без подјеле по полу,301791
2019,Самостални власници/це непокретности – земљишта и објеката,Број,Оба пола или без подјеле по полу,322053
2020,Самостални власници/це непокретности – земљишта и објеката,Број,Оба пола или без подјеле по полу,335470
2021,Самостални власници/це непокретности – земљишта и објеката,Број,Оба пола или без подјеле по полу,486196
2018,Самостални власници/це непокретности – земљишта и објеката,Број,Мушкарци,221528
2019,Самостални власници/це непокретности – земљишта и објеката,Број,Мушкарци,235748
2020,Самостални власници/це непокретности – земљишта и објеката,Број,Мушкарци,238185
2021,Самостални власници/це непокретности – земљишта и објеката,Број,Мушкарци,349368
2018,Самостални власници/це непокретности – земљишта и објеката,Број,Жене,80263
2019,Самостални власници/це непокретности – земљишта и објеката,Број,Жене,86305
2020,Самостални власници/це непокретности – земљишта и објеката,Број,Жене,97285
2021,Самостални власници/це непокретности – земљишта и објеката,Број,Жене,136828
2018,Сувласници/це у омјеру ½ непокретности – земљишта и објеката,Број,Оба пола или без подјеле по полу,112670
2019,Сувласници/це у омјеру ½ непокретности – земљишта и објеката,Број,Оба пола или без подјеле по полу,113906
2020,Сувласници/це у омјеру ½ непокретности – земљишта и објеката,Број,Оба пола или без подјеле по полу,113369
2021,Сувласници/це у омјеру ½ непокретности – земљишта и објеката,Број,Оба пола или без подјеле по полу,168688
2018,Сувласници/це у омјеру ½ непокретности – земљишта и објеката,Број,Мушкарци,75233
2019,Сувласници/це у омјеру ½ непокретности – земљишта и објеката,Број,Мушкарци,75664
2020,Сувласници/це у омјеру ½ непокретности – земљишта и објеката,Број,Мушкарци,72449
2021,Сувласници/це у омјеру ½ непокретности – земљишта и објеката,Број,Мушкарци,107719
2018,Сувласници/це у омјеру ½ непокретности – земљишта и објеката,Број,Жене,37437
2019,Сувласници/це у омјеру ½ непокретности – земљишта и објеката,Број,Жене,38242
2020,Сувласници/це у омјеру ½ непокретности – земљишта и објеката,Број,Жене,40920
2021,Сувласници/це у омјеру ½ непокретности – земљишта и објеката,Број,Жене,60969
2018,Сувласници/це у омјеру мањем од ½ непокретности – земљишта и објеката,Број,Оба пола или без подјеле по полу,293012
2019,Сувласници/це у омјеру мањем од ½ непокретности – земљишта и објеката,Број,Оба пола или без подјеле по полу,330384
2020,Сувласници/це у омјеру мањем од ½ непокретности – земљишта и објеката,Број,Оба пола или без подјеле по полу,343529
2021,Сувласници/це у омјеру мањем од ½ непокретности – земљишта и објеката,Број,Оба пола или без подјеле по полу,295914
2018,Сувласници/це у омјеру мањем од ½ непокретности – земљишта и објеката,Број,Мушкарци,175091
2019,Сувласници/це у омјеру мањем од ½ непокретности – земљишта и објеката,Број,Мушкарци,195662
2020,Сувласници/це у омјеру мањем од ½ непокретности – земљишта и објеката,Број,Мушкарци,201559
2021,Сувласници/це у омјеру мањем од ½ непокретности – земљишта и објеката,Број,Мушкарци,164842
2018,Сувласници/це у омјеру мањем од ½ непокретности – земљишта и објеката,Број,Жене,117921
2019,Сувласници/це у омјеру мањем од ½ непокретности – земљишта и објеката,Број,Жене,134722
2020,Сувласници/це у омјеру мањем од ½ непокретности – земљишта и објеката,Број,Жене,141970
2021,Сувласници/це у омјеру мањем од ½ непокретности – земљишта и објеката,Број,Жене,131072
