Year,SERIES,UNIT_MEASURE,Дјелатност,Value
2006,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,17.0
2007,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,17.9
2008,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,16.6
2009,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,16.4
2010,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,16.8
2011,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,16.0
2012,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,15.5
2013,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,16.0
2014,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,16.1
2015,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,16.1
2016,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,17.3
2017,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,16.5
2018,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,17.7
2019,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,18.6
2020,Запосленост у прерађивачкој индустрији као удио укупне запослености,Проценат,Прерађивачка индустрија,18.9
