Year,SERIES,UNIT_MEASURE,Value
2009,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.5
2010,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.4
2011,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.8
2012,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.8
2013,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.5
2014,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.8
2015,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.8
2016,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.9
2017,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.9
2018,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.9
2019,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.9
2020,Удио порода уз присуство квалификованих здравствених радника,Проценат,100.0
2021,Удио порода уз присуство квалификованих здравствених радника,Проценат,100.0
