Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2011,TX_EXP_ECG,u hiljadama KM,Zemlje EU–27,1636954
2012,TX_EXP_ECG,u hiljadama KM,Zemlje EU–27,1664593
2013,TX_EXP_ECG,u hiljadama KM,Zemlje EU–27,1819199
2014,TX_EXP_ECG,u hiljadama KM,Zemlje EU–27,1888795
2015,TX_EXP_ECG,u hiljadama KM,Zemlje EU–27,1863124
2016,TX_EXP_ECG,u hiljadama KM,Zemlje EU–27,2074672
2017,TX_EXP_ECG,u hiljadama KM,Zemlje EU–27,2478433
2018,TX_EXP_ECG,u hiljadama KM,Zemlje EU–27,2685522
2019,TX_EXP_ECG,u hiljadama KM,Zemlje EU–27,2606564
2020,TX_EXP_ECG,u hiljadama KM,Zemlje EU–27,2461069
2021,TX_EXP_ECG,u hiljadama KM,Zemlje EU–27,3214308
2011,TX_EXP_ECG,u hiljadama KM,Zemlje EFTA,117116
2012,TX_EXP_ECG,u hiljadama KM,Zemlje EFTA,31565
2013,TX_EXP_ECG,u hiljadama KM,Zemlje EFTA,73508
2014,TX_EXP_ECG,u hiljadama KM,Zemlje EFTA,79861
2015,TX_EXP_ECG,u hiljadama KM,Zemlje EFTA,65314
2016,TX_EXP_ECG,u hiljadama KM,Zemlje EFTA,76543
2017,TX_EXP_ECG,u hiljadama KM,Zemlje EFTA,92738
2018,TX_EXP_ECG,u hiljadama KM,Zemlje EFTA,103757
2019,TX_EXP_ECG,u hiljadama KM,Zemlje EFTA,136086
2020,TX_EXP_ECG,u hiljadama KM,Zemlje EFTA,148086
2021,TX_EXP_ECG,u hiljadama KM,Zemlje EFTA,201565
2011,TX_EXP_ECG,u hiljadama KM,Ostale razvijene zemlje,66795
2012,TX_EXP_ECG,u hiljadama KM,Ostale razvijene zemlje,60703
2013,TX_EXP_ECG,u hiljadama KM,Ostale razvijene zemlje,55930
2014,TX_EXP_ECG,u hiljadama KM,Ostale razvijene zemlje,61892
2015,TX_EXP_ECG,u hiljadama KM,Ostale razvijene zemlje,87257
2016,TX_EXP_ECG,u hiljadama KM,Ostale razvijene zemlje,107500
2017,TX_EXP_ECG,u hiljadama KM,Ostale razvijene zemlje,142480
2018,TX_EXP_ECG,u hiljadama KM,Ostale razvijene zemlje,110107
2019,TX_EXP_ECG,u hiljadama KM,Ostale razvijene zemlje,99956
2020,TX_EXP_ECG,u hiljadama KM,Ostale razvijene zemlje,113803
2021,TX_EXP_ECG,u hiljadama KM,Ostale razvijene zemlje,102462
2011,TX_EXP_ECG,u hiljadama KM,CEFTA,698367
2012,TX_EXP_ECG,u hiljadama KM,CEFTA,559897
2013,TX_EXP_ECG,u hiljadama KM,CEFTA,599931
2014,TX_EXP_ECG,u hiljadama KM,CEFTA,570437
2015,TX_EXP_ECG,u hiljadama KM,CEFTA,509689
2016,TX_EXP_ECG,u hiljadama KM,CEFTA,521492
2017,TX_EXP_ECG,u hiljadama KM,CEFTA,645335
2018,TX_EXP_ECG,u hiljadama KM,CEFTA,729090
2019,TX_EXP_ECG,u hiljadama KM,CEFTA,678774
2020,TX_EXP_ECG,u hiljadama KM,CEFTA,594310
2021,TX_EXP_ECG,u hiljadama KM,CEFTA,811312
2011,TX_EXP_ECG,u hiljadama KM,Ostale zemlje u razvoju,21886
2012,TX_EXP_ECG,u hiljadama KM,Ostale zemlje u razvoju,36248
2013,TX_EXP_ECG,u hiljadama KM,Ostale zemlje u razvoju,35876
2014,TX_EXP_ECG,u hiljadama KM,Ostale zemlje u razvoju,66207
2015,TX_EXP_ECG,u hiljadama KM,Ostale zemlje u razvoju,69271
2016,TX_EXP_ECG,u hiljadama KM,Ostale zemlje u razvoju,74924
2017,TX_EXP_ECG,u hiljadama KM,Ostale zemlje u razvoju,102156
2018,TX_EXP_ECG,u hiljadama KM,Ostale zemlje u razvoju,96959
2019,TX_EXP_ECG,u hiljadama KM,Ostale zemlje u razvoju,79858
2020,TX_EXP_ECG,u hiljadama KM,Ostale zemlje u razvoju,65827
2021,TX_EXP_ECG,u hiljadama KM,Ostale zemlje u razvoju,88079
2011,TX_EXP_ECG,u hiljadama KM,Neraspoređeno,19691
2012,TX_EXP_ECG,u hiljadama KM,Neraspoređeno,21732
2013,TX_EXP_ECG,u hiljadama KM,Neraspoređeno,19647
2014,TX_EXP_ECG,u hiljadama KM,Neraspoređeno,24822
2015,TX_EXP_ECG,u hiljadama KM,Neraspoređeno,19268
2016,TX_EXP_ECG,u hiljadama KM,Neraspoređeno,13970
2017,TX_EXP_ECG,u hiljadama KM,Neraspoređeno,14951
2018,TX_EXP_ECG,u hiljadama KM,Neraspoređeno,16388
2019,TX_EXP_ECG,u hiljadama KM,Neraspoređeno,9147
2020,TX_EXP_ECG,u hiljadama KM,Neraspoređeno,10140
2021,TX_EXP_ECG,u hiljadama KM,Neraspoređeno,11533
2011,TX_IMP_ECG,u hiljadama KM,Zemlje EU–27,1823350
2012,TX_IMP_ECG,u hiljadama KM,Zemlje EU–27,1840594
2013,TX_IMP_ECG,u hiljadama KM,Zemlje EU–27,1799168
2014,TX_IMP_ECG,u hiljadama KM,Zemlje EU–27,1965735
2015,TX_IMP_ECG,u hiljadama KM,Zemlje EU–27,2085822
2016,TX_IMP_ECG,u hiljadama KM,Zemlje EU–27,2208555
2017,TX_IMP_ECG,u hiljadama KM,Zemlje EU–27,2410269
2018,TX_IMP_ECG,u hiljadama KM,Zemlje EU–27,2618484
2019,TX_IMP_ECG,u hiljadama KM,Zemlje EU–27,2726613
2020,TX_IMP_ECG,u hiljadama KM,Zemlje EU–27,2567470
2021,TX_IMP_ECG,u hiljadama KM,Zemlje EU–27,3227270
2011,TX_IMP_ECG,u hiljadama KM,Zemlje EFTA,21632
2012,TX_IMP_ECG,u hiljadama KM,Zemlje EFTA,24819
