Year,SERIES,UNIT_MEASURE,Value
2003,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.01854
2004,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.01524
2005,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.02697
2006,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.01969
2007,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.02521
2008,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.01842
2009,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.02106
2012,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.26533
2013,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.32132
2014,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.25725
2015,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.2186
2016,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.21594
2017,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.20048
2018,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.19485
2019,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.1926
2020,Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Procenat,0.2061
