Year,SERIES,UNIT_MEASURE,Djelatnost,Value
2006,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,17.0
2007,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,17.9
2008,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,16.6
2009,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,16.4
2010,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,16.8
2011,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,16.0
2012,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,15.5
2013,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,16.0
2014,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,16.1
2015,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,16.1
2016,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,17.3
2017,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,16.5
2018,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,17.7
2019,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,18.6
2020,Zaposlenost u  prerađivačkoj industriji  kao udio ukupne zaposlenosti,Procenat,Prerađivačka industrija,18.9
