Year,SERIES,UNIT_MEASURE,Value
2009,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,25.9
2010,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,20.1
2011,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,29.2
2012,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,29.4
2013,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,26.6
2014,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,19.8
2015,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,13.1
2016,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,13.1
2017,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,15.2
2018,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,16.7
2019,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,14.1
2020,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,6.8
2021,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,2.6
