Year,SERIES,UNIT_MEASURE,Value
2001,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,8.92
2002,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,8.57
2003,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,7.78
2004,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,8.52
2005,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,8.3
2006,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,8.05
2007,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,7.7
2008,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,7.21
2009,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,7.08
2010,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,6.8
2011,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,6.76
2012,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,6.14
2013,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,6.84
2014,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,5.95
2015,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,6.24
2016,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,6.37
2017,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,5.6
2018,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,5.89
2019,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,5.6
2020,Udio dodate vrijednosti poljoprivrede u BDP-u,Procenat,6.2
