Year,SERIES,UNIT_MEASURE,Pol,Value
2009,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Oba pola ili bez podjele po polu,150.7
2010,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Oba pola ili bez podjele po polu,144.6
2011,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Oba pola ili bez podjele po polu,180.2
2012,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Oba pola ili bez podjele po polu,184.2
2013,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Oba pola ili bez podjele po polu,189.1
2014,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Oba pola ili bez podjele po polu,194.5
2015,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Oba pola ili bez podjele po polu,184.6
2016,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Oba pola ili bez podjele po polu,179.4
2017,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Oba pola ili bez podjele po polu,177.2
2018,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Oba pola ili bez podjele po polu,163.5
2019,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Oba pola ili bez podjele po polu,159.3
2020,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Oba pola ili bez podjele po polu,157.6
2021,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Oba pola ili bez podjele po polu,147.9
2009,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Muškarci,201.1
