Year,SERIES,UNIT_MEASURE,Value
2009,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.5
2010,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.4
2011,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.8
2012,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.8
2013,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.5
2014,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.8
2015,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.8
2016,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.9
2017,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.9
2018,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.9
2019,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,99.9
2020,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,100.0
2021,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Procenat,100.0
