Year,SERIES,UNIT_MEASURE,Value
2004,Udio stanovništva koje živi ispod nacionalne granice siromaštva,Broj,199752.0
2007,Udio stanovništva koje živi ispod nacionalne granice siromaštva,Broj,182389.0
2011,Udio stanovništva koje živi ispod nacionalne granice siromaštva,Broj,152909.0
2015,Udio stanovništva koje živi ispod nacionalne granice siromaštva,Broj,126043.0
2004,Udio stanovništva koje živi ispod nacionalne granice siromaštva,Procenat,15.8
2007,Udio stanovništva koje živi ispod nacionalne granice siromaštva,Procenat,15.6
2011,Udio stanovništva koje živi ispod nacionalne granice siromaštva,Procenat,14.4
2015,Udio stanovništva koje živi ispod nacionalne granice siromaštva,Procenat,12.8
2004,Udio domaćinstava koja žive ispod nacionalne linije siromaštva,Broj,63973.0
2007,Udio domaćinstava koja žive ispod nacionalne linije siromaštva,Broj,64708.0
2011,Udio domaćinstava koja žive ispod nacionalne linije siromaštva,Broj,53234.0
2015,Udio domaćinstava koja žive ispod nacionalne linije siromaštva,Broj,49805.0
2004,Udio domaćinstava koja žive ispod nacionalne linije siromaštva,Procenat,16.1
2007,Udio domaćinstava koja žive ispod nacionalne linije siromaštva,Procenat,17.3
2011,Udio domaćinstava koja žive ispod nacionalne linije siromaštva,Procenat,14.8
2015,Udio domaćinstava koja žive ispod nacionalne linije siromaštva,Procenat,13.9
