Year,SERIES,UNIT_MEASURE,Pol,Value
2010,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola ili bez podjele po polu,17.9
2011,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola ili bez podjele po polu,14.58
2012,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola ili bez podjele po polu,12.09
2013,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola ili bez podjele po polu,11.66
2014,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola ili bez podjele po polu,12.14
2015,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola ili bez podjele po polu,15.05
2016,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola ili bez podjele po polu,15.36
2017,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola ili bez podjele po polu,15.43
2018,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola ili bez podjele po polu,28.08
2019,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola ili bez podjele po polu,31.82
2020,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Oba pola ili bez podjele po polu,27.05
2019,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Žene,50.46
2019,Neosuđeni pritvorenici kao udio u ukupnoj zatvorskoj populaciji,Procenat,Muškarci,31.35
