Year,SERIES,UNIT_MEASURE,Pol,Starost,Value
2009,Udio korisnika socijalne zaštite u ukupnoj populaciji,Procenat,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,3.1
2010,Udio korisnika socijalne zaštite u ukupnoj populaciji,Procenat,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,3.2
2011,Udio korisnika socijalne zaštite u ukupnoj populaciji,Procenat,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,3.1
2012,Udio korisnika socijalne zaštite u ukupnoj populaciji,Procenat,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,3.5
2013,Udio korisnika socijalne zaštite u ukupnoj populaciji,Procenat,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,3.5
2014,Udio korisnika socijalne zaštite u ukupnoj populaciji,Procenat,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,4.2
2015,Udio korisnika socijalne zaštite u ukupnoj populaciji,Procenat,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,3.6
2016,Udio korisnika socijalne zaštite u ukupnoj populaciji,Procenat,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,3.8
2017,Udio korisnika socijalne zaštite u ukupnoj populaciji,Procenat,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,3.7
2018,Udio korisnika socijalne zaštite u ukupnoj populaciji,Procenat,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,4.3
2019,Udio korisnika socijalne zaštite u ukupnoj populaciji,Procenat,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,4.3
2020,Udio korisnika socijalne zaštite u ukupnoj populaciji,Procenat,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,4.5
2021,Udio korisnika socijalne zaštite u ukupnoj populaciji,Procenat,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,4.6
2009,Udio korisnika socijalne zaštite u ukupnoj populaciji,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,36917.0
2010,Udio korisnika socijalne zaštite u ukupnoj populaciji,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,37178.0
2011,Udio korisnika socijalne zaštite u ukupnoj populaciji,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,36323.0
2012,Udio korisnika socijalne zaštite u ukupnoj populaciji,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,41157.0
2013,Udio korisnika socijalne zaštite u ukupnoj populaciji,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,41212.0
2014,Udio korisnika socijalne zaštite u ukupnoj populaciji,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,49147.0
2015,Udio korisnika socijalne zaštite u ukupnoj populaciji,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,41410.0
2016,Udio korisnika socijalne zaštite u ukupnoj populaciji,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,43582.0
2017,Udio korisnika socijalne zaštite u ukupnoj populaciji,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,43062.0
2018,Udio korisnika socijalne zaštite u ukupnoj populaciji,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,48921.0
2019,Udio korisnika socijalne zaštite u ukupnoj populaciji,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,49252.0
2020,Udio korisnika socijalne zaštite u ukupnoj populaciji,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,50652.0
2021,Udio korisnika socijalne zaštite u ukupnoj populaciji,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,52068.0
2012,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,18712.0
2013,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,19143.0
2014,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,23658.0
2015,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,18963.0
2016,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,19926.0
2017,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,19812.0
2018,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,23658.0
2019,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,23293.0
2020,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,23661.0
2021,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,24954.0
2012,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Maloljetni,2811.0
2013,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Maloljetni,2812.0
2014,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Maloljetni,2653.0
2015,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Maloljetni,1586.0
2016,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Maloljetni,1797.0
2017,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Maloljetni,2065.0
2018,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Maloljetni,2430.0
2019,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Maloljetni,2564.0
2020,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Maloljetni,2754.0
2021,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Maloljetni,2986.0
2012,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Punoljetni,15901.0
2013,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Punoljetni,16331.0
2014,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Punoljetni,21005.0
2015,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Punoljetni,17377.0
2016,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Punoljetni,18129.0
2017,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Punoljetni,17747.0
2018,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Punoljetni,21228.0
2019,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Punoljetni,20729.0
2020,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Punoljetni,20907.0
2021,Broj korisnika socijalne zaštite po polu i starosti,Broj,Muškarci,Punoljetni,21968.0
2012,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,22445.0
2013,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,22069.0
2014,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,25489.0
2015,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,22447.0
2016,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,23656.0
2017,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,23250.0
2018,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,25263.0
2019,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,25959.0
2020,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,26991.0
2021,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,27114.0
2012,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Maloljetni,2289.0
2013,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Maloljetni,2830.0
2014,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Maloljetni,2557.0
2015,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Maloljetni,1339.0
2016,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Maloljetni,1366.0
2017,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Maloljetni,1876.0
2018,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Maloljetni,2608.0
2019,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Maloljetni,1790.0
2020,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Maloljetni,1978.0
2021,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Maloljetni,2050.0
2012,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Punoljetni,20156.0
2013,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Punoljetni,19239.0
2014,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Punoljetni,22932.0
2015,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Punoljetni,21108.0
2016,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Punoljetni,22290.0
2017,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Punoljetni,21374.0
2018,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Punoljetni,22655.0
2019,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Punoljetni,24169.0
2020,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Punoljetni,25013.0
2021,Broj korisnika socijalne zaštite po polu i starosti,Broj,Žene,Punoljetni,25064.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,5156.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,5156.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,5219.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,5067.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,5071.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,4905.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,4487.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,4487.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,4076.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,4142.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,1852.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,1852.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,1940.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,1948.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,2020.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,1955.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,1800.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,1846.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,1727.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,1821.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,3304.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,3304.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,3279.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,3119.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,3051.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,2950.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,2687.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,2641.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,2349.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,2321.0
