Year,SERIES,UNIT_MEASURE,Value
2009,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema polu (na 100.000 stanovnika)",Na 100 000 umrlih,754.9
2010,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema polu (na 100.000 stanovnika)",Na 100 000 umrlih,680.6
2011,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema polu (na 100.000 stanovnika)",Na 100 000 umrlih,871.3
2012,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema polu (na 100.000 stanovnika)",Na 100 000 umrlih,688.6
2013,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema polu (na 100.000 stanovnika)",Na 100 000 umrlih,837.0
2014,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema polu (na 100.000 stanovnika)",Na 100 000 umrlih,714.8
2015,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema polu (na 100.000 stanovnika)",Na 100 000 umrlih,703.9
2016,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema polu (na 100.000 stanovnika)",Na 100 000 umrlih,901.9
2017,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema polu (na 100.000 stanovnika)",Na 100 000 umrlih,566.1
2018,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema polu (na 100.000 stanovnika)",Na 100 000 umrlih,704.5
2019,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema polu (na 100.000 stanovnika)",Na 100 000 umrlih,702.9
2020,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema polu (na 100.000 stanovnika)",Na 100 000 umrlih,464.4
2021,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema polu (na 100.000 stanovnika)",Na 100 000 umrlih,421.0
