Year,SERIES,UNIT_MEASURE,Value
2009,Stopa smrtnosti majki,Na 100 000 živorođenih,0.0
2010,Stopa smrtnosti majki,Na 100 000 živorođenih,9.8
2011,Stopa smrtnosti majki,Na 100 000 živorođenih,10.5
2012,Stopa smrtnosti majki,Na 100 000 živorođenih,0.0
2013,Stopa smrtnosti majki,Na 100 000 živorođenih,0.0
2014,Stopa smrtnosti majki,Na 100 000 živorođenih,0.0
2015,Stopa smrtnosti majki,Na 100 000 živorođenih,10.7
2016,Stopa smrtnosti majki,Na 100 000 živorođenih,10.6
2017,Stopa smrtnosti majki,Na 100 000 živorođenih,0.0
2018,Stopa smrtnosti majki,Na 100 000 živorođenih,10.5
2019,Stopa smrtnosti majki,Na 100 000 živorođenih,0.0
2020,Stopa smrtnosti majki,Na 100 000 živorođenih,32.7
2021,Stopa smrtnosti majki,Na 100 000 živorođenih,0.0
2022,Stopa smrtnosti majki,Na 100 000 živorođenih,11.0
2023,Stopa smrtnosti majki,Na 100 000 živorođenih,0.0
