Year,SERIES,UNIT_MEASURE,Pol,Value
2006,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Oba pola ili bez podjele po polu,2.17778
2007,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Oba pola ili bez podjele po polu,2.15767
2008,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Oba pola ili bez podjele po polu,2.13076
2009,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Oba pola ili bez podjele po polu,1.90902
2010,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Oba pola ili bez podjele po polu,2.11273
2011,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Oba pola ili bez podjele po polu,2.18184
2012,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Oba pola ili bez podjele po polu,2.23761
2014,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Oba pola ili bez podjele po polu,1.74418
2016,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Oba pola ili bez podjele po polu,8.7
2006,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Žene,2.02557
2007,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Žene,2.03539
2008,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Žene,2.15464
2009,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Žene,1.86016
2010,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Žene,1.978
2011,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Žene,2.13504
2012,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Žene,2.30169
2014,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Žene,1.63634
2016,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Žene,8.5
2006,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Muškarci,2.29241
2007,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Muškarci,2.28263
2008,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Muškarci,2.02114
2010,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Muškarci,2.17342
2011,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Muškarci,2.15668
2012,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Muškarci,2.17297
2016,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Procenat,Muškarci,8.9
