Year,SERIES,UNIT_MEASURE,Value
2009,Incidencija hepatitisa B (na 100 000 stanovnika),Na 100 000 stanovnika,4.7
2010,Incidencija hepatitisa B (na 100 000 stanovnika),Na 100 000 stanovnika,2.7
2011,Incidencija hepatitisa B (na 100 000 stanovnika),Na 100 000 stanovnika,3.9
2012,Incidencija hepatitisa B (na 100 000 stanovnika),Na 100 000 stanovnika,4.5
2013,Incidencija hepatitisa B (na 100 000 stanovnika),Na 100 000 stanovnika,5.6
2014,Incidencija hepatitisa B (na 100 000 stanovnika),Na 100 000 stanovnika,3.9
2015,Incidencija hepatitisa B (na 100 000 stanovnika),Na 100 000 stanovnika,2.3
2016,Incidencija hepatitisa B (na 100 000 stanovnika),Na 100 000 stanovnika,3.6
2017,Incidencija hepatitisa B (na 100 000 stanovnika),Na 100 000 stanovnika,4.0
2018,Incidencija hepatitisa B (na 100 000 stanovnika),Na 100 000 stanovnika,5.2
2019,Incidencija hepatitisa B (na 100 000 stanovnika),Na 100 000 stanovnika,4.5
2020,Incidencija hepatitisa B (na 100 000 stanovnika),Na 100 000 stanovnika,1.9
2021,Incidencija hepatitisa B (na 100 000 stanovnika),Na 100 000 stanovnika,1.5
