Year,Value,UNIT_MEASURE,SERIES
2012,323,Број,Број лица лијечених због злоупотребе опојних дрога
2013,375,Број,Број лица лијечених због злоупотребе опојних дрога
2014,385,Број,Број лица лијечених због злоупотребе опојних дрога
2015,455,Број,Број лица лијечених због злоупотребе опојних дрога
2016,486,Број,Број лица лијечених због злоупотребе опојних дрога
2017,534,Број,Број лица лијечених због злоупотребе опојних дрога
2018,540,Број,Број лица лијечених због злоупотребе опојних дрога
2019,573,Број,Број лица лијечених због злоупотребе опојних дрога
2020,597,Број,Број лица лијечених због злоупотребе опојних дрога
2021,608,Број,Број лица лијечених због злоупотребе опојних дрога
