Year,Value,UNIT_MEASURE,SERIES
2009,462.7,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2010,403.2,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2011,350.8,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2012,336.6,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2013,394.8,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2014,382.6,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2015,332.8,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2016,241.1,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2017,305.1,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2018,293.7,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2019,488.1,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2020,369.4,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2021,481.7,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
