Year,Value,UNIT_MEASURE,SERIES
2009,25.9,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2010,20.1,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2011,29.2,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2012,29.4,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2013,26.6,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2014,19.8,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2015,13.1,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2016,13.1,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2017,15.2,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2018,16.7,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2019,14.1,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2020,6.8,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2021,2.6,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
