Year,Value,UNIT_MEASURE,SERIES
2009,99.5,Проценат,Удио порода уз присуство квалификованих здравствених радника
2010,99.4,Проценат,Удио порода уз присуство квалификованих здравствених радника
2011,99.8,Проценат,Удио порода уз присуство квалификованих здравствених радника
2012,99.8,Проценат,Удио порода уз присуство квалификованих здравствених радника
2013,99.5,Проценат,Удио порода уз присуство квалификованих здравствених радника
2014,99.8,Проценат,Удио порода уз присуство квалификованих здравствених радника
2015,99.8,Проценат,Удио порода уз присуство квалификованих здравствених радника
2016,99.9,Проценат,Удио порода уз присуство квалификованих здравствених радника
2017,99.9,Проценат,Удио порода уз присуство квалификованих здравствених радника
2018,99.9,Проценат,Удио порода уз присуство квалификованих здравствених радника
2019,99.9,Проценат,Удио порода уз присуство квалификованих здравствених радника
2020,100.0,Проценат,Удио порода уз присуство квалификованих здравствених радника
2021,100.0,Проценат,Удио порода уз присуство квалификованих здравствених радника
