Year,Value,UNIT_MEASURE,SERIES
2009,99.5,Percent,Proportion of births attended by skilled health personnel
2010,99.4,Percent,Proportion of births attended by skilled health personnel
2011,99.8,Percent,Proportion of births attended by skilled health personnel
2012,99.8,Percent,Proportion of births attended by skilled health personnel
2013,99.5,Percent,Proportion of births attended by skilled health personnel
2014,99.8,Percent,Proportion of births attended by skilled health personnel
2015,99.8,Percent,Proportion of births attended by skilled health personnel
2016,99.9,Percent,Proportion of births attended by skilled health personnel
2017,99.9,Percent,Proportion of births attended by skilled health personnel
2018,99.9,Percent,Proportion of births attended by skilled health personnel
2019,99.9,Percent,Proportion of births attended by skilled health personnel
2020,100.0,Percent,Proportion of births attended by skilled health personnel
2021,100.0,Percent,Proportion of births attended by skilled health personnel
