Year,Value,UNIT_MEASURE,SERIES
2009,0.0,"Per 1,000 population","Malaria incidence (per 1,000 population)"
2010,0.00085,"Per 1,000 population","Malaria incidence (per 1,000 population)"
2011,0.0,"Per 1,000 population","Malaria incidence (per 1,000 population)"
2012,0.00085,"Per 1,000 population","Malaria incidence (per 1,000 population)"
2013,0.0,"Per 1,000 population","Malaria incidence (per 1,000 population)"
2014,0.00086,"Per 1,000 population","Malaria incidence (per 1,000 population)"
2015,0.0,"Per 1,000 population","Malaria incidence (per 1,000 population)"
2016,0.0,"Per 1,000 population","Malaria incidence (per 1,000 population)"
2017,0.0,"Per 1,000 population","Malaria incidence (per 1,000 population)"
2018,0.0,"Per 1,000 population","Malaria incidence (per 1,000 population)"
2019,0.0,"Per 1,000 population","Malaria incidence (per 1,000 population)"
2020,0.0,"Per 1,000 population","Malaria incidence (per 1,000 population)"
2021,0.0,"Per 1,000 population","Malaria incidence (per 1,000 population)"
