Year,Value,UNIT_MEASURE,SERIES
2018,16.21,Percent,Tier 1 capital to total risk exposure amount (%)
2019,16.87,Percent,Tier 1 capital to total risk exposure amount (%)
2020,17.52,Percent,Tier 1 capital to total risk exposure amount (%)
2021,18.31,Percent,Tier 1 capital to total risk exposure amount (%)
2018,17.66,Percent,Own funds to total risk exposure amount (%)
2019,18.31,Percent,Own funds to total risk exposure amount (%)
2020,19.33,Percent,Own funds to total risk exposure amount (%)
2021,19.15,Percent,Own funds to total risk exposure amount (%)
2018,12.44,Percent,Capital to assets (%)
2019,12.58,Percent,Capital to assets (%)
2020,12.39,Percent,Capital to assets (%)
2021,11.69,Percent,Capital to assets (%)
2018,7.17,Percent,NPAs to total assets (%)
2019,5.04,Percent,NPAs to total assets (%)
2020,3.62,Percent,NPAs to total assets (%)
2021,2.54,Percent,NPAs to total assets (%)
2018,19.1,Percent,NPAs net of provisions to Tier 1 (%)
2019,10.66,Percent,NPAs net of provisions to Tier 1 (%)
2020,6.18,Percent,NPAs net of provisions to Tier 1 (%)
2021,4.56,Percent,NPAs net of provisions to Tier 1 (%)
2018,18.34,Percent,NPLs net of provisions to Tier 1 (%)
2019,9.42,Percent,NPLs net of provisions to Tier 1 (%)
2020,5.99,Percent,NPLs net of provisions to Tier 1 (%)
2021,4.34,Percent,NPLs net of provisions to Tier 1 (%)
2018,9.54,Percent,NPLs to total loans (%)
2019,6.95,Percent,NPLs to total loans (%)
2020,5.23,Percent,NPLs to total loans (%)
2021,3.98,Percent,NPLs to total loans (%)
2018,1.13,Percent,ROA (%)
2019,1.35,Percent,ROA (%)
2020,0.69,Percent,ROA (%)
2021,1.38,Percent,ROA (%)
2018,8.79,Percent,ROE (%)
2019,10.75,Percent,ROE (%)
2020,5.5,Percent,ROE (%)
2021,11.25,Percent,ROE (%)
2018,60.65,Percent,Net interest income to gross income (%)
2019,58.07,Percent,Net interest income to gross income (%)
2020,58.87,Percent,Net interest income to gross income (%)
2021,56.84,Percent,Net interest income to gross income (%)
2018,78.24,Percent,Non-interest expenses to gross income (%)
2019,73.22,Percent,Non-interest expenses to gross income (%)
2020,85.81,Percent,Non-interest expenses to gross income (%)
2021,71.68,Percent,Non-interest expenses to gross income (%)
2018,26.7,Percent,Liquid assets to total assets (%)
2019,22.97,Percent,Liquid assets to total assets (%)
2020,22.87,Percent,Liquid assets to total assets (%)
2021,28.72,Percent,Liquid assets to total assets (%)
2018,39.96,Percent,Liquid assets to short-term financial liabilities (%)
2019,35.03,Percent,Liquid assets to short-term financial liabilities (%)
2020,33.75,Percent,Liquid assets to short-term financial liabilities (%)
2021,40.73,Percent,Liquid assets to short-term financial liabilities (%)
2018,105.98,Percent,Deposits to loans (%)
2019,103.1,Percent,Deposits to loans (%)
2020,106.81,Percent,Deposits to loans (%)
2021,121.63,Percent,Deposits to loans (%)
2018,76.4,Percent,Short-term financial liabilities to total financial liabilities (%)
2019,75.08,Percent,Short-term financial liabilities to total financial liabilities (%)
2020,77.44,Percent,Short-term financial liabilities to total financial liabilities (%)
2021,79.97,Percent,Short-term financial liabilities to total financial liabilities (%)
2018,69.01,Percent,Forex and indexed loans to total loans (%)
2019,63.94,Percent,Forex and indexed loans to total loans (%)
2020,62.38,Percent,Forex and indexed loans to total loans (%)
2021,58.74,Percent,Forex and indexed loans to total loans (%)
2018,61.61,Percent,Forex liabilities to total liabilities (%)
2019,58.95,Percent,Forex liabilities to total liabilities (%)
2020,59.1,Percent,Forex liabilities to total liabilities (%)
2021,54.46,Percent,Forex liabilities to total liabilities (%)
2018,3.06,Percent,Net open position (%)
2019,9.36,Percent,Net open position (%)
2020,6.38,Percent,Net open position (%)
2021,2.38,Percent,Net open position (%)
