Year,Value,UNIT_MEASURE,SERIES
2009,1.4,Percent,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,"
2010,1.5,Percent,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,"
2011,1.4,Percent,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,"
2012,1.4,Percent,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,"
2013,1.5,Percent,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,"
2014,1.3,Percent,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,"
2015,1.4,Percent,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,"
2016,1.5,Percent,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,"
2017,1.6,Percent,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,"
2018,1.7,Percent,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,"
2019,1.7,Percent,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,"
2020,1.0,Percent,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,"
2021,1.3,Percent,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,"
