Year,Value,UNIT_MEASURE,SERIES
2009,754.9,PER_100000_DEATHS,"Death rate due to road traffic injuries, by sex (per 100,000 population)"
2010,680.6,PER_100000_DEATHS,"Death rate due to road traffic injuries, by sex (per 100,000 population)"
2011,871.3,PER_100000_DEATHS,"Death rate due to road traffic injuries, by sex (per 100,000 population)"
2012,688.6,PER_100000_DEATHS,"Death rate due to road traffic injuries, by sex (per 100,000 population)"
2013,837.0,PER_100000_DEATHS,"Death rate due to road traffic injuries, by sex (per 100,000 population)"
2014,714.8,PER_100000_DEATHS,"Death rate due to road traffic injuries, by sex (per 100,000 population)"
2015,703.9,PER_100000_DEATHS,"Death rate due to road traffic injuries, by sex (per 100,000 population)"
2016,901.9,PER_100000_DEATHS,"Death rate due to road traffic injuries, by sex (per 100,000 population)"
2017,566.1,PER_100000_DEATHS,"Death rate due to road traffic injuries, by sex (per 100,000 population)"
2018,704.5,PER_100000_DEATHS,"Death rate due to road traffic injuries, by sex (per 100,000 population)"
2019,702.9,PER_100000_DEATHS,"Death rate due to road traffic injuries, by sex (per 100,000 population)"
2020,464.4,PER_100000_DEATHS,"Death rate due to road traffic injuries, by sex (per 100,000 population)"
2021,421.0,PER_100000_DEATHS,"Death rate due to road traffic injuries, by sex (per 100,000 population)"
