Year,Value,UNIT_MEASURE,SERIES
2009,462.7,Per million population,Researchers (in full-time equivalent) per million inhabitants
2010,403.2,Per million population,Researchers (in full-time equivalent) per million inhabitants
2011,350.8,Per million population,Researchers (in full-time equivalent) per million inhabitants
2012,336.6,Per million population,Researchers (in full-time equivalent) per million inhabitants
2013,394.8,Per million population,Researchers (in full-time equivalent) per million inhabitants
2014,382.6,Per million population,Researchers (in full-time equivalent) per million inhabitants
2015,332.8,Per million population,Researchers (in full-time equivalent) per million inhabitants
2016,241.1,Per million population,Researchers (in full-time equivalent) per million inhabitants
2017,305.1,Per million population,Researchers (in full-time equivalent) per million inhabitants
2018,293.7,Per million population,Researchers (in full-time equivalent) per million inhabitants
2019,488.1,Per million population,Researchers (in full-time equivalent) per million inhabitants
2020,369.4,Per million population,Researchers (in full-time equivalent) per million inhabitants
2021,481.7,Per million population,Researchers (in full-time equivalent) per million inhabitants
