Year,Value,UNIT_MEASURE,SERIES
2012,323,Number,Number of persons who received treatment for drug abuse
2013,375,Number,Number of persons who received treatment for drug abuse
2014,385,Number,Number of persons who received treatment for drug abuse
2015,455,Number,Number of persons who received treatment for drug abuse
2016,486,Number,Number of persons who received treatment for drug abuse
2017,534,Number,Number of persons who received treatment for drug abuse
2018,540,Number,Number of persons who received treatment for drug abuse
2019,573,Number,Number of persons who received treatment for drug abuse
2020,597,Number,Number of persons who received treatment for drug abuse
2021,608,Number,Number of persons who received treatment for drug abuse
