Year,Value,UNIT_MEASURE,SERIES
2010,392891.0,TONNES,Total generated municipal waste
2011,381185.0,TONNES,Total generated municipal waste
2012,376438.0,TONNES,Total generated municipal waste
2013,388767.0,TONNES,Total generated municipal waste
2014,,TONNES,Total generated municipal waste
2015,403352.0,TONNES,Total generated municipal waste
2016,425962.0,TONNES,Total generated municipal waste
2017,391186.0,TONNES,Total generated municipal waste
2018,395737.0,TONNES,Total generated municipal waste
2019,399826.0,TONNES,Total generated municipal waste
2020,390426.0,TONNES,Total generated municipal waste
2021,397182.0,TONNES,Total generated municipal waste
2010,1926.0,TONNES,Municipal waste delivered for treatment
2011,887.0,TONNES,Municipal waste delivered for treatment
2012,1635.0,TONNES,Municipal waste delivered for treatment
2013,3156.0,TONNES,Municipal waste delivered for treatment
2014,3260.0,TONNES,Municipal waste delivered for treatment
2015,2864.0,TONNES,Municipal waste delivered for treatment
2016,2901.0,TONNES,Municipal waste delivered for treatment
2017,2946.0,TONNES,Municipal waste delivered for treatment
2018,2767.0,TONNES,Municipal waste delivered for treatment
2019,2929.0,TONNES,Municipal waste delivered for treatment
2020,1999.0,TONNES,Municipal waste delivered for treatment
2021,2189.0,TONNES,Municipal waste delivered for treatment
2010,0.5,Percent,Share of treated municipal waste
2011,0.2,Percent,Share of treated municipal waste
2012,0.4,Percent,Share of treated municipal waste
2013,0.8,Percent,Share of treated municipal waste
2014,,Percent,Share of treated municipal waste
2015,0.7,Percent,Share of treated municipal waste
2016,0.7,Percent,Share of treated municipal waste
2017,0.8,Percent,Share of treated municipal waste
2018,0.7,Percent,Share of treated municipal waste
2019,0.7,Percent,Share of treated municipal waste
2020,0.5,Percent,Share of treated municipal waste
2021,0.6,Percent,Share of treated municipal waste
