Year,Value,UNIT_MEASURE,SERIES
2000,85,Percent,SH_ACS_DTP3
2001,91,Percent,SH_ACS_DTP3
2002,80,Percent,SH_ACS_DTP3
2003,87,Percent,SH_ACS_DTP3
2004,84,Percent,SH_ACS_DTP3
2005,93,Percent,SH_ACS_DTP3
2006,87,Percent,SH_ACS_DTP3
2007,95,Percent,SH_ACS_DTP3
2008,91,Percent,SH_ACS_DTP3
2009,90,Percent,SH_ACS_DTP3
2010,89,Percent,SH_ACS_DTP3
2011,88,Percent,SH_ACS_DTP3
2012,92,Percent,SH_ACS_DTP3
2013,89,Percent,SH_ACS_DTP3
2014,86,Percent,SH_ACS_DTP3
2015,82,Percent,SH_ACS_DTP3
2016,78,Percent,SH_ACS_DTP3
2017,75,Percent,SH_ACS_DTP3
2018,73,Percent,SH_ACS_DTP3
2019,73,Percent,SH_ACS_DTP3
2000,74,Percent,SH_ACS_MCV2
2001,86,Percent,SH_ACS_MCV2
2002,90,Percent,SH_ACS_MCV2
2003,85,Percent,SH_ACS_MCV2
2004,88,Percent,SH_ACS_MCV2
2005,90,Percent,SH_ACS_MCV2
2006,93,Percent,SH_ACS_MCV2
2007,95,Percent,SH_ACS_MCV2
2008,92,Percent,SH_ACS_MCV2
2009,88,Percent,SH_ACS_MCV2
2010,91,Percent,SH_ACS_MCV2
2011,88,Percent,SH_ACS_MCV2
2012,94,Percent,SH_ACS_MCV2
2013,93,Percent,SH_ACS_MCV2
2014,92,Percent,SH_ACS_MCV2
2015,88,Percent,SH_ACS_MCV2
2016,78,Percent,SH_ACS_MCV2
2017,80,Percent,SH_ACS_MCV2
2018,76,Percent,SH_ACS_MCV2
2019,76,Percent,SH_ACS_MCV2
2008,0,Percent,SH_ACS_PCV3
2009,0,Percent,SH_ACS_PCV3
2010,0,Percent,SH_ACS_PCV3
2011,0,Percent,SH_ACS_PCV3
2012,0,Percent,SH_ACS_PCV3
2013,0,Percent,SH_ACS_PCV3
2014,0,Percent,SH_ACS_PCV3
2015,0,Percent,SH_ACS_PCV3
2016,0,Percent,SH_ACS_PCV3
2017,0,Percent,SH_ACS_PCV3
2018,0,Percent,SH_ACS_PCV3
2019,0,Percent,SH_ACS_PCV3
