Year,Value,UNIT_MEASURE,SERIES
2009,25.9,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2010,20.1,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2011,29.2,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2012,29.4,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2013,26.6,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2014,19.8,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2015,13.1,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2016,13.1,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2017,15.2,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2018,16.7,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2019,14.1,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2020,6.8,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
2021,2.6,"Per 100,000 population","Tuberculosis incidence (per 100,000 population)"
