Year,SERIES,UNIT_MEASURE,Value
2009,Proportion of births attended by skilled health personnel,Percent,99.5
2010,Proportion of births attended by skilled health personnel,Percent,99.4
2011,Proportion of births attended by skilled health personnel,Percent,99.8
2012,Proportion of births attended by skilled health personnel,Percent,99.8
2013,Proportion of births attended by skilled health personnel,Percent,99.5
2014,Proportion of births attended by skilled health personnel,Percent,99.8
2015,Proportion of births attended by skilled health personnel,Percent,99.8
2016,Proportion of births attended by skilled health personnel,Percent,99.9
2017,Proportion of births attended by skilled health personnel,Percent,99.9
2018,Proportion of births attended by skilled health personnel,Percent,99.9
2019,Proportion of births attended by skilled health personnel,Percent,99.9
2020,Proportion of births attended by skilled health personnel,Percent,100.0
2021,Proportion of births attended by skilled health personnel,Percent,100.0
