Year,SERIES,UNIT_MEASURE,Sex,Value
2009,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Both sexes or no breakdown by sex,150.7
2010,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Both sexes or no breakdown by sex,144.6
2011,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Both sexes or no breakdown by sex,180.2
2012,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Both sexes or no breakdown by sex,184.2
2013,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Both sexes or no breakdown by sex,189.1
2014,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Both sexes or no breakdown by sex,194.5
2015,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Both sexes or no breakdown by sex,184.6
2016,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Both sexes or no breakdown by sex,179.4
2017,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Both sexes or no breakdown by sex,177.2
2018,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Both sexes or no breakdown by sex,163.5
2019,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Both sexes or no breakdown by sex,159.3
2020,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Both sexes or no breakdown by sex,157.6
2021,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Both sexes or no breakdown by sex,147.9
2009,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Male,201.1
2010,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Male,191.4
2011,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Male,236.2
2012,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Male,247.2
2013,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Male,246.9
2014,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Male,255.0
2015,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Male,229.5
2016,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Male,233.1
2017,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Male,225.8
2018,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Male,216.8
2019,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Male,203.6
2020,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Male,207.9
2021,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Male,194.4
2009,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Female,102.5
2010,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Female,99.8
2011,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Female,123.4
2012,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Number of deaths per 100,000 population under the age of 65 years",Female,120.4
