Year,SERIES,UNIT_MEASURE,Value
2009,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 deaths",754.9
2010,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 deaths",680.6
2011,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 deaths",871.3
2012,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 deaths",688.6
2013,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 deaths",837.0
2014,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 deaths",714.8
2015,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 deaths",703.9
2016,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 deaths",901.9
2017,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 deaths",566.1
2018,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 deaths",704.5
2019,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 deaths",702.9
2020,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 deaths",464.4
2021,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Per 100,000 deaths",421.0
