Year,SERIES,UNIT_MEASURE,Value
2010,EN_WWT_TREATMUN,Thousand of cubic metres,1084.0
2011,EN_WWT_TREATMUN,Thousand of cubic metres,959.0
2012,EN_WWT_TREATMUN,Thousand of cubic metres,1109.0
2013,EN_WWT_TREATMUN,Thousand of cubic metres,1169.0
2014,EN_WWT_TREATMUN,Thousand of cubic metres,1193.0
2015,EN_WWT_TREATMUN,Thousand of cubic metres,1266.0
2016,EN_WWT_TREATMUN,Thousand of cubic metres,2698.0
2017,EN_WWT_TREATMUN,Thousand of cubic metres,2660.0
2018,EN_WWT_TREATMUN,Thousand of cubic metres,2841.0
2019,EN_WWT_TREATMUN,Thousand of cubic metres,2936.0
2020,EN_WWT_TREATMUN,Thousand of cubic metres,3171.0
2021,EN_WWT_TREATMUN,Thousand of cubic metres,2684.0
2019,EN_WWT_TREATPOP,Percent,4.5
2020,EN_WWT_TREATPOP,Percent,4.5
2021,EN_WWT_TREATPOP,Percent,4.7
