Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2011,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,1636954
2012,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,1664593
2013,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,1819199
2014,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,1888795
2015,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,1863124
2016,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,2074672
2017,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,2478433
2018,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,2685522
2019,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,2606564
2020,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,2461069
2021,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,3214308
2011,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,117116
2012,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,31565
2013,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,73508
2014,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,79861
2015,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,65314
2016,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,76543
2017,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,92738
2018,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,103757
2019,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,136086
2020,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,148086
2021,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,201565
2011,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,66795
2012,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,60703
2013,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,55930
2014,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,61892
