Year,SERIES,UNIT_MEASURE,Value
2009,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",25.9
2010,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",20.1
2011,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",29.2
2012,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",29.4
2013,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",26.6
2014,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",19.8
2015,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",13.1
2016,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",13.1
2017,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",15.2
2018,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",16.7
2019,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",14.1
2020,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",6.8
2021,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",2.6
